Resource,Column 8,Path,Min,Max,Max,Description,Available / Missing in KNHTS,Notes,Update Concept ID,Valueset URL,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19
Claim,,Claim.provider,1,1,Reference itm Organization(Provider) profile,"The provider which is responsible for the claim, predetermination or preauthorization.",,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.priority,1,1,CodeableConcept,"The provider-required urgency of processing the request. Typical values include: stat, routine deferred.",Missing,,No,http://hl7.org/fhir/ValueSet/process-priority,,,,,,,,,,,,,,,,,,
Claim,,Claim.related,0,*,BackboneElement,Other claims which are related to this claim such as prior submissions or claims for related services or for the same event.,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.related.claim,1,1,Reference to itm Claim,Reference to a related claim.,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.prescription,0,1,"Reference (MedicationRequest, DeviceRequest,  and VisionRequest ) profiles","Prescription to support the dispensing of pharmacy, device or vision products.",,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.originalPrescription,0,1,Reference (MedicationRequest) profile,"Original prescription which has been superseded by this prescription to support the dispensing of pharmacy services, medications or products.",,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.payee,1,1,BackboneElement,The party to be reimbursed for cost of the products and services according to the terms of the policy.,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.payee.type,1,1,CodeableConcept,"Type of Party to be reimbursed: subscriber, provider, other.",Missing,,No,http://hl7.org/fhir/ValueSet/payeetype,,,,,,,,,,,,,,,,,,
Claim,,Claim.payee.party,0,1,Reference itm Patien or itm Organization(provider) if 'other',Reference to the individual or organization to whom any payment will be made.,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.referral,0,1,Reference ServiceRequest(referral) profile,A reference to a referral resource.,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.facility,0,1,Reference  itm Location profile,Facility where the services were provided.,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.careTeam,1,*,BackboneElement,The members of the team who provided the products and services.,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.careTeam.sequence,1,*,positiveInt,A number to uniquely identify care team entries.,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.careTeam.provider,1,1,Reference(itm ractitioner | itm PractitionerRole) profile,Member of the team who provided the product or service.,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.careTeam.role,1,1,CodeableConcept,"The lead, assisting or supervising practitioner and their discipline if a multidisciplinary team.",Available & Incomplete,,Yes,https://ilm-hie.dha.go.ke/ocl/orgs/MOH-KENYA/ValueSet/CLAIM-CARE-TEAM-ROLE/,,,,,,,,,,,,,,,,,,
Claim,,Claim.careTeam.qualification,1,1,CodeableConcept,The qualification of the practitioner which is applicable for this service,Missing,,No,http://hl7.org/fhir/ValueSet/provider-qualification,,,,,,,,,,,,,,,,,,
Claim,,Claim.supportingInfo,0,*,BackboneElement,"Additional information codes regarding exceptions, special considerations, the condition, situation, prior or concurrent issues.",,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.supportingInfo.sequence,1,1,positiveInt,A number to uniquely identify supporting information entries.,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.supportingInfo.category,1,1,CodeableConcept,"The general class of the information supplied: information; exception; accident, employment; onset, etc.",Missing,,No,http://hl7.org/fhir/ValueSet/claim-informationcategory,,,,,,,,,,,,,,,,,,
Claim,,Claim.supportingInfo.code,0,1,CodeableConcept,"System and code pertaining to the specific information regarding special conditions relating to the setting, treatment or patient  for which care is sought. Identify all the possible codes that should be added under this valueset eg do you have another health insureance, visit type (new, return), type of accomodation, patient disposition uppon discharge, name of referring institution, reasons for referral, ",Missing,,No,http://hl7.org/fhir/ValueSet/claim-exception,,,,,,,,,,,,,,,,,,
Claim,,Claim.supportingInfo.timingDate,0,1,date,The date to which this information refers.,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.supportingInfo.timingPeriod,0,1,period 1,The period to which this information refers.,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.supportingInfo.valueBoolean,0,1,boolean,"Additional data or information such as resources, documents, images etc. including references to the data or the actual inclusion of the data.",,,,,,,,,,,,,,,,,,,,,,
